timestamp,model,parameters,cv_f1_score,test_f1,test_accuracy
2024-10-23 23:21:52,LogisticRegression,,0.8098,0.7848,0.7853
2024-10-23 23:29:52,LinearSVC,,0.8409,0.8343,0.8343
2024-10-23 23:31:55,RandomForest,,0.7469,0.752,0.7533
2024-10-23 23:36:22,MultilayerPerceptron,,0.8299,0.8305,0.8305
